id,latitude,longitude,elevation,x,y,z
AI1,-7.9955,110.487,180.0,5.106525465883637,104.02134964850492,-0.18
AI2a,-8.00531,110.35599,390.0,-9.336386223622522,102.93573113533043,-0.39
AI2b,-8.00531,110.35599,390.0,-9.336386223622522,102.93573113533043,-0.39
AI3,-7.86492,110.56426,250.0,13.628322195453132,118.46117486944777,-0.25
AJ1,-8.0925,110.5718,240.0,14.451834735970245,93.29149481390256,-0.24
AJ2,-7.96585,110.64945,230.0,23.01745106295028,107.2949873110525,-0.23
AI4a,-7.91245,110.52223,245.0,8.992250389547253,113.20571546683868,-0.245
AI4b,-7.91245,110.52223,245.0,8.992250389547253,113.20571546683868,-0.245
AI4c,-7.91245,110.52223,245.0,8.992250389547253,113.20571546683868,-0.245
AH3,-7.74756,110.17489,400.0,-29.319406662984104,131.43341967500476,-0.4
AK1,-7.97297,110.83443,232.0,43.41147848165331,106.49266733844314,-0.232
AK2,-8.14749,110.77555,292.0,36.90398208746596,87.19684088799613,-0.292
BH1,-7.6315,110.18065,417.0,-28.691808992529396,144.26949906931176,-0.417
BH2a,-7.52649,110.41065,1285.0,-3.314313523376869,155.89146498374623,-1.285
BH2b,-7.52649,110.41065,1285.0,-3.314313523376869,155.89146498374623,-1.285
BI2,-7.53275,110.55353,650.0,12.454716407451354,155.19765650301693,-0.65
BI4,-7.60581,110.52957,582.0,9.808711879862711,147.11829296574527,-0.582
BJ1a,-7.76979,110.63866,154.0,21.838076354692586,128.97897051832896,-0.154
BJ1b,-7.76979,110.63866,154.0,21.838076354692586,128.97897051832896,-0.154
BJ2,-7.84295,110.76014,230.0,35.2318431723934,120.8795554313999,-0.23
BK1,-7.86135,110.84589,214.0,44.6870052432986,118.83639688337415,-0.214
BK2a,-7.65885,110.88086,132.0,48.56683887583314,141.2285374389768,-0.132
BK2b,-7.65885,110.88086,132.0,48.56683887583314,141.2285374389768,-0.132
BK2c,-7.65885,110.88086,132.0,48.56683887583314,141.2285374389768,-0.132
BK3,-7.72834,110.98596,304.0,60.15346163468973,133.52971878127943,-0.304
AF2,-7.6511,109.8954,120.0,-60.164340588627894,142.07238716209596,-0.12
AG1,-7.83642,110.04642,215.0,-43.48199941329648,121.59474550461208,-0.215
AG2a,-7.63401,109.99567,210.0,-49.10260186236844,143.97522264317124,-0.21
AG2b,-7.63401,109.99567,210.0,-49.10260186236844,143.97522264317124,-0.21
AG3a,-7.84336,109.94033,40.0,-55.18175706046893,120.81473333109895,-0.04
AG3b,-7.84336,109.94033,40.0,-55.18175706046893,120.81473333109895,-0.04
BG2,-7.48676,110.04437,800.0,-43.7437546988571,160.2657353808351,-0.8
BG3,-7.3893,109.99378,1060.0,-49.33874614306012,171.03908306426183,-1.06
CI1,-7.45,110.50234,1070.0,6.806401231048176,164.35037290328958,-1.07
CI2,-7.4174,110.62157,500.0,19.969226107577555,167.95210566675345,-0.5
CI3,-7.29246,110.561,500.0,13.286345538728456,181.7718281726993,-0.5
CH1,-7.27396,110.2406,691.0,-22.094783546594286,183.81466871728017,-0.691
CH2,-7.22458,110.35304,993.0,-9.67910150031939,189.27965320176457,-0.993
BF3,-7.47501,109.95369,910.0,-53.75444798631655,161.5551968331648,-0.91
CJ1,-7.51903,110.69235,201.0,27.77656019450746,156.70862211466346,-0.201
CJ2,-7.35847,110.73834,230.0,32.864413785733205,174.462465579409,-0.23
AH4,-7.81151,110.29389,180.0,-16.189974755405693,124.36724247095384,-0.18
AG4,-7.84247,110.13904,160.0,-33.266573497337134,120.93409531733573,-0.16
AH5a,-7.74402,110.28101,170.0,-17.613372719576084,131.83078474198447,-0.17
AH5b,-7.74402,110.28101,170.0,-17.613372719576084,131.83078474198447,-0.17
AH5c,-7.74402,110.28101,170.0,-17.613372719576084,131.83078474198447,-0.17
AH2,-7.92381,110.22264,75.0,-24.041943655057665,111.94392683764701,-0.075
CG4,-7.35985,110.13804,960.0,-33.41415346987642,174.3094769456685,-0.96
CK4a,-7.48169,110.95802,126.0,57.103729359181884,160.81258578669855,-0.126
CK4b,-7.48169,110.95802,126.0,57.103729359181884,160.81258578669855,-0.126
AHB,-7.87747,110.31186,80.0,-14.205759559657924,117.07302876117923,-0.08
AJB,-8.05935,110.65646,280.0,23.78489731649971,96.95380725025028,-0.28
BGB,-7.49944,110.17211,390.0,-29.643135948736056,158.87405875607493,-0.39
BIB,-7.6075,110.44533,830.0,0.5131096190001241,146.93239386707108,-0.83
CJB,-7.45577,110.83399,140.0,43.41567603653858,163.69338991149866,-0.14
