id,latitude,longitude,elevation,x,y,z
AI1,-7.9955,110.487,180.0,-1.8350196152064562,30.6009109219866,-0.18
AI2a,-8.00531,110.35599,390.0,-16.27777894299376,29.51308230922536,-0.39
AI2b,-8.00531,110.35599,390.0,-16.27777894299376,29.51308230922536,-0.39
AI3,-7.86492,110.56426,250.0,6.6845790461698344,45.04201341115666,-0.25
AJ1,-8.0925,110.5718,240.0,7.511929452324169,19.872504955187974,-0.24
AJ2,-7.96585,110.64945,230.0,16.07537371114664,33.87727538890238,-0.23
AI4a,-7.91245,110.52223,245.0,2.0493062130517963,39.78586188973503,-0.245
AI4b,-7.91245,110.52223,245.0,2.0493062130517963,39.78586188973503,-0.245
AI4c,-7.91245,110.52223,245.0,2.0493062130517963,39.78586188973503,-0.245
AH1,-7.98167,110.29288,40.0,-23.236513288459033,32.12455237363043,-0.04
AH3,-7.74756,110.17489,400.0,-36.26516915750712,58.00787272419894,-0.4
AK1,-7.97297,110.83443,232.0,36.469418956449985,33.07806687338702,-0.232
AK2,-8.14749,110.77555,292.0,29.964936965823803,13.78135945847802,-0.292
AK3,-8.03979,110.98377,210.0,52.9260114329319,25.67164127978469,-0.21
AK4,-8.17903,110.88225,200.0,41.720540741673304,10.283606628537372,-0.2
BH1,-7.6315,110.18065,417.0,-35.63945552760062,70.84411592082819,-0.417
BH2a,-7.52649,110.41065,1285.0,-10.263559905073175,82.46979898416609,-1.285
BH2b,-7.52649,110.41065,1285.0,-10.263559905073175,82.46979898416609,-1.285
BH3,-7.43732,110.33704,885.0,-18.391410834087374,92.32901597334182,-0.885
BI1,-7.58026,110.4713,1125.0,-3.569371297094289,76.52414650763863,-1.125
BI2,-7.53275,110.55353,650.0,5.505566803530483,81.7782614555779,-0.65
BI4,-7.60581,110.52957,582.0,2.8607353449883286,73.69852560702596,-0.582
BJ1a,-7.76979,110.63866,154.0,14.892740856447073,55.56101031886787,-0.154
BJ1b,-7.76979,110.63866,154.0,14.892740856447073,55.56101031886787,-0.154
BJ2,-7.84295,110.76014,230.0,28.287658823824856,47.46362944808327,-0.23
BK1,-7.86135,110.84589,214.0,37.74306827578532,45.4219033216324,-0.214
BK2a,-7.65885,110.88086,132.0,41.619550286569776,67.81445331318632,-0.132
BK2b,-7.65885,110.88086,132.0,41.619550286569776,67.81445331318632,-0.132
BK2c,-7.65885,110.88086,132.0,41.619550286569776,67.81445331318632,-0.132
BK3,-7.72834,110.98596,304.0,53.20720431478114,60.117406814283385,-0.304
AE1,-7.7362,109.6564,50.0,-93.4654346204209,59.18522286690113,-0.05
AE2a,-7.6763,109.4866,50.0,-112.21476495254574,65.76980077298143,-0.05
AE2b,-7.6763,109.4866,50.0,-112.21476495254574,65.76980077298143,-0.05
AE3,-7.5556,109.5844,255.0,-101.45153098490505,79.14449919762087,-0.255
AF1,-7.82125,109.83342,42.0,-73.92126629229709,49.813341183831966,-0.042
AF2,-7.6511,109.8954,120.0,-67.111924848182,68.64238661085288,-0.12
AG1,-7.83642,110.04642,215.0,-50.42639283004076,48.16702104241225,-0.215
AG2a,-7.63401,109.99567,210.0,-56.050353882648025,70.5468579234805,-0.21
AG2b,-7.63401,109.99567,210.0,-56.050353882648025,70.5468579234805,-0.21
AG3a,-7.84336,109.94033,40.0,-62.1261395539123,47.38524784274677,-0.04
AG3b,-7.84336,109.94033,40.0,-62.1261395539123,47.38524784274677,-0.04
BG1a,-7.42543,110.10267,1300.0,-44.26483434548669,93.62740860433289,-1.3
BG1b,-7.42543,110.10267,1300.0,-44.26483434548669,93.62740860433289,-1.3
BG2,-7.48676,110.04437,800.0,-50.693816408333085,86.83828512898059,-0.8
BG3,-7.3893,109.99378,1060.0,-56.29038867773916,97.61092935534985,-1.06
CG1a,-7.26988,109.99025,1866.0,-56.695218175710465,110.81793664671679,-1.866
CG1b,-7.26988,109.99025,1866.0,-56.695218175710465,110.81793664671679,-1.866
CG1c,-7.26988,109.99025,1866.0,-56.695218175710465,110.81793664671679,-1.866
CG2,-7.17724,110.0377,905.0,-51.4655801300292,121.06916164846405,-0.905
CG3,-7.35913,110.1386,990.0,-40.30436969946285,100.96327349827673,-0.99
CI1,-7.45,110.50234,1070.0,-0.1440537129304387,90.93015879885435,-1.07
CI2,-7.4174,110.62157,500.0,13.018236495231884,94.53375688527107,-0.5
CI3,-7.29246,110.561,500.0,6.333426917208977,108.35250782799558,-0.5
CH1,-7.27396,110.2406,691.0,-29.048034399920336,110.39042186150934,-0.691
CH2,-7.22458,110.35304,993.0,-16.633068961523165,115.85714623080658,-0.993
BE1,-7.3784,109.5666,270.0,-103.45783827694305,98.7399488683037,-0.27
BE2,-7.46213,109.60206,210.0,-99.52360620453199,89.48696670427246,-0.21
BE3,-7.33705,109.70866,570.0,-87.78025033154151,103.34382639323738,-0.57
BF1,-7.37186,109.8565,830.0,-71.44980833106936,99.52010167473848,-0.83
BF2,-7.49034,109.82459,525.0,-74.95298863779881,86.41093297598339,-0.525
BF3,-7.47501,109.95369,910.0,-60.704784000313666,88.12632572831598,-0.91
CJ1,-7.51903,110.69235,201.0,20.82714911315179,83.2914280682484,-0.201
CJ2,-7.35847,110.73834,230.0,25.91245317600652,101.04591328205316,-0.23
CK1a,-7.63768,111.13364,1190.0,69.5140178251437,70.12319139945097,-1.19
CK1b,-7.63768,111.13364,1190.0,69.5140178251437,70.12319139945097,-1.19
CK2,-7.35486,110.92136,150.0,46.120163379631315,101.43042738227795,-0.15
CF1,-7.27323,109.90872,1250.0,-65.69854297570346,110.43641350791444,-1.25
AH4,-7.81151,110.29389,180.0,-23.134627069552767,50.94361686887732,-0.18
AF3,-7.78646,109.7447,50.0,-83.713923466904,53.64465053745876,-0.05
CE1,-7.2426,109.7201,1185.0,-86.5351252519846,113.79242966813104,-1.185
CE2,-7.25089,109.60251,700.0,-99.5209836661589,112.85143818445968,-0.7
AG4,-7.84247,110.13904,160.0,-40.21079455173729,47.507897419687296,-0.16
AH5a,-7.74402,110.28101,170.0,-24.559140006893454,58.40697349410396,-0.17
AH5b,-7.74402,110.28101,170.0,-24.559140006893454,58.40697349410396,-0.17
AH5c,-7.74402,110.28101,170.0,-24.559140006893454,58.40697349410396,-0.17
AK5,-8.03656,110.98417,230.0,52.970524916649026,26.028826779821333,-0.23
DK1a,-7.32878,111.12865,170.0,69.01193480340011,104.28818274407554,-0.17
DK1b,-7.3286,111.12865,140.0,69.01196250596597,104.30809051989115,-0.14
DK2,-7.20901,111.09905,125.0,65.76085557132589,117.53893062649217,-0.125
AH2,-7.92381,110.22264,75.0,-30.9847588278029,38.51906984214249,-0.075
DJ1,-7.23831,110.73718,170.0,25.79125893885304,114.33484632283525,-0.17
DH1,-7.11215,110.42958,280.0,-8.18186160972377,128.29305061742141,-0.28
DH2,-7.14759,110.32017,750.0,-20.266708653376767,124.37030918407606,-0.75
DI1a,-7.17086,110.60024,100.0,10.669361800753652,121.79975930433308,-0.1
DI1b,-7.17083,110.60024,103.0,10.669362498969466,121.80307705631749,-0.103
DI2,-7.03794,110.67457,30.0,18.884894199791944,136.49722115500396,-0.03
DJ2a,-7.10987,110.76478,70.0,28.847466497707675,128.53771685377595,-0.07
DJ2b,-7.10987,110.76478,70.0,28.847466497707675,128.53771685377595,-0.07
DE1,-6.96582,109.80323,150.0,-77.40001471174281,144.41910226875618,-0.15
CG4,-7.35985,110.13804,960.0,-40.3661346476235,100.88359482430059,-0.96
DJ3,-7.27839,110.85932,140.0,39.27688268284688,109.8934966026046,-0.14
DK3,-7.1508,110.92612,80.0,46.666735966996654,123.99793075452989,-0.08
DL1,-7.2053,111.23194,125.0,80.43954786269923,117.92798032025765,-0.125
NG1,-5.7987,110.34493,2.0,-17.57828826374419,273.54352699602487,-0.002
NG2,-5.88063,110.44238,60.0,-6.7843381465805415,264.48532298138315,-0.06
NL1,-7.06147,111.34135,104.0,92.55345641214763,133.8152847546978,-0.104
NK1,-6.94875,111.22667,186.0,79.9015674330009,146.30326576369694,-0.186
NJ1,-6.51162,110.75074,300.0,27.330301428642862,194.69957964156956,-0.3
NJ2,-6.41835,110.93971,40.0,48.24075228287171,205.0003171199617,-0.04
NJ3,-6.58776,110.96294,350.0,50.793670302092316,186.26268065852642,-0.35
NJ4,-6.60751,110.78426,300.0,31.031923924832462,184.09316176610506,-0.3
NJ5a,-6.95383,110.86012,46.0,39.392892615078324,145.7876239765782,-0.046
NJ5b,-6.95383,110.86012,46.0,39.392892615078324,145.7876239765782,-0.046
NL2,-6.78878,111.52069,130.0,112.43416780184448,163.93739803094135,-0.13
NK3,-7.07123,111.00241,78.0,55.10343118053886,132.78957168053154,-0.078
NK2,-6.71399,111.21174,32.0,78.28973837312171,172.26980435693997,-0.032
NK4,-6.87811,111.08651,71.0,64.4214531932472,154.1371210948974,-0.071
NL3,-6.66574,111.50304,170.0,110.51057768632829,177.5504184118661,-0.17
NL4,-6.83338,111.37561,89.0,96.38537965603975,159.03578888115825,-0.089
CE3,-7.10009,109.58158,651.0,-101.86620782390565,129.52611578862724,-0.651
NJ6,-6.86953,110.60822,38.0,11.558224136140302,155.12396604037482,-0.038
NJ7a,-6.77616,110.95932,131.0,50.37404262249815,165.42737568421174,-0.131
NJ7b,-6.77616,110.95932,131.0,50.37404262249815,165.42737568421174,-0.131
CK3,-7.49162,111.10958,236.0,66.88161624824946,86.28116500702728,-0.236
DG1,-7.09002,110.08253,572.0,-46.52263136206194,130.7199871332332,-0.572
CK4a,-7.48169,110.95802,126.0,50.15353275732338,87.39957127692998,-0.126
CK4b,-7.48169,110.95802,126.0,50.15353275732338,87.39957127692998,-0.126
NK5,-7.0524,111.12434,85.0,68.57746441458298,134.85591941936153,-0.085
NL5,-6.95196,111.47959,153.0,107.85335045053546,145.898077221283,-0.153
AF4,-7.79738,109.74498,32.0,-83.68086852075487,52.43690929296337,-0.032
NJ8,-6.72561,110.81139,120.0,34.02398899424052,171.03061517278513,-0.12
DH3,-7.2077,110.47253,336.0,-3.4365164706979665,117.72656785090072,-0.336
CK6,-7.59042,111.03057,427.0,58.147241068828905,75.36532931842216,-0.427
CF3,-7.19959,109.8073,1600.0,-76.91148724169506,118.56500776881892,-1.6
NK6,-6.75551,111.22728,45.0,80.00118793590464,167.67525770780563,-0.045
BI3a,-7.6075,110.44533,830.0,-6.434837079286903,73.51127433982387,-0.83
BI3b,-7.6075,110.44533,830.0,-6.434837079286903,73.51127433982387,-0.83
BI3c,-7.6075,110.44533,830.0,-6.434837079286903,73.51127433982387,-0.83
DI3,-7.0383,110.67219,32.0,18.621921384183405,136.45750369364274,-0.032
CJ3,-7.45577,110.83399,140.0,36.465178162771416,90.27839681016403,-0.14
AK6,-8.03797,110.7436,423.0,26.45104880317935,25.896196198709504,-0.423
AK7,-8.08392,110.83837,256.0,36.89380092108043,20.80689500741648,-0.256
AK8a,-7.99222,111.04803,529.0,60.01680172137484,30.92405859411699,-0.529
AK8b,-7.99222,111.04803,529.0,60.01680172137484,30.92405859411699,-0.529
AL1,-8.02378,111.23701,633.0,80.84601045701093,27.401073995394754,-0.633
AL2,-8.13282,111.26792,639.0,84.2311056220962,15.334409176923804,-0.639
AL3,-8.24568,111.17509,380.0,73.97894566290736,2.869761005876402,-0.38
AL4,-8.19173,111.03901,368.0,58.99332216184061,8.859366142681408,-0.368
AHB,-7.87747,110.31186,80.0,-21.149311462595954,43.64967745937767,-0.08
AJB,-8.05935,110.65646,280.0,16.844401433460554,23.53624840509136,-0.28
BGB,-7.49944,110.17211,390.0,-36.59290095889173,85.44861976477814,-0.39
BIB,-7.6075,110.44533,830.0,-6.434837079286903,73.51127433982387,-0.83
BKB,-7.85205,111.11289,325.0,67.1903892212076,46.41705097369815,-0.325
AFB,-7.62696,109.77509,140.0,-80.39171929091414,71.29171300892075,-0.14
CHB,-7.33484,110.40004,1137.0,-11.439509332137476,103.66468928778046,-1.137
CJB,-7.45577,110.83399,140.0,36.465178162771416,90.27839681016403,-0.14
BEB,-7.42463,109.74207,740.0,-84.07444451072809,93.66369342318441,-0.74
CFB,-7.13705,109.95567,980.0,-60.5316836719473,125.50401611128802,-0.98
DEB,-7.03357,109.73565,290.0,-84.85618299959408,136.9143130595522,-0.29
DGB,-7.05743,110.21441,315.0,-31.955295734906926,134.3353442311769,-0.315
DKB,-7.3227,111.03449,120.0,58.615434890201946,104.97399076180972,-0.12
DIB,-7.08947,110.55443,70.0,5.610425121566547,130.8016079258278,-0.07
NKBa,-6.95835,110.99658,232.0,54.47243570045367,145.27420301875128,-0.232
NKBb,-6.95835,110.99658,232.0,54.47243570045367,145.27420301875128,-0.232
